key,value,count,patch
building,yes,218,aachen_12.tif
building,garages,64,aachen_12.tif
building,house,59,aachen_12.tif
building,apartments,23,aachen_12.tif
building,garage,6,aachen_12.tif
building,retail,3,aachen_12.tif
building,detached,1,aachen_12.tif
building,bridge,1,aachen_12.tif
building,shed,1,aachen_12.tif
highway,footway,112,aachen_12.tif
highway,steps,32,aachen_12.tif
highway,residential,19,aachen_12.tif
highway,street_lamp,16,aachen_12.tif
highway,service,15,aachen_12.tif
highway,turning_circle,9,aachen_12.tif
highway,bus_stop,6,aachen_12.tif
highway,path,5,aachen_12.tif
highway,crossing,1,aachen_12.tif
highway,unclassified,1,aachen_12.tif
landuse,forest,5,aachen_12.tif
landuse,meadow,4,aachen_12.tif
landuse,grass,2,aachen_12.tif
landuse,farmyard,1,aachen_12.tif
landuse,construction,1,aachen_12.tif
landuse,residential,1,aachen_12.tif
landuse,farmland,1,aachen_12.tif
natural,tree,16,aachen_12.tif
natural,scrub,2,aachen_12.tif
natural,tree_row,1,aachen_12.tif
natural,wood,1,aachen_12.tif
amenity,bench,19,aachen_12.tif
amenity,waste_basket,8,aachen_12.tif
amenity,waste_disposal,7,aachen_12.tif
amenity,parking,5,aachen_12.tif
amenity,recycling,3,aachen_12.tif
amenity,bicycle_parking,3,aachen_12.tif
amenity,post_box,2,aachen_12.tif
amenity,mobile_library,1,aachen_12.tif
amenity,car_sharing,1,aachen_12.tif
amenity,community_centre,1,aachen_12.tif
amenity,doctors,1,aachen_12.tif
amenity,dentist,1,aachen_12.tif
amenity,waste_transfer_station,1,aachen_12.tif
barrier,wall,5,aachen_12.tif
barrier,kerb,1,aachen_12.tif
barrier,fence,1,aachen_12.tif
barrier,hedge,1,aachen_12.tif
